Name,IP Address,Data Classification,Type / User,Purpose,DNS Name,PowerStatus_CVI_25
ilas1wagswks01.100.100,192.168.100.100,Cutomer Confidential Internal,,,,Powered On
ilas1syn04.100.109,192.168.100.109,Cutomer Confidential Internal,Images,Vendor Dev,ilas1syn04.infowerks.com,Not Found
ilas1syn05.100.110,192.168.100.110,Cutomer Confidential Internal,Images,Vendor Dev,ilas1syn05.infowerks.com,Not Found
ilas3wks40.100.118,192.168.100.118,Customer Confidential External,,Production iRun,ILAS3WKS40.infowerks.com,Powered On
ilas3wks47.100.134,192.168.100.134,Cutomer Confidential Internal,,iAggregate/automation,ilas3wks47.infowerks.com,Not Found
ilas3wks48.100.135,192.168.100.135,Cutomer Confidential Internal,,iAggregate/automation,ilas3wks48.infowerks.com,Not Found
ilas3wks49.100.136,192.168.100.136,Cutomer Confidential Internal,Rachel,Production iRun,ilas3wks49.infowerks.com,Powered On
ilas3wks54.100.143,192.168.100.143,Cutomer Confidential Internal,,Production iRun,ILAS3WKS54.infowerks.com,Powered On
ilas3wks55.100.144,192.168.100.144,Cutomer Confidential Internal,,Production iRun,ILAS3WKS55.infowerks.com,Powered On
ilas3wks56.100.145,192.168.100.145,Cutomer Confidential Internal,,Production iRun,ILAS3WKS56.infowerks.com,Powered On
ilas1vend01.100.150,192.168.100.150,Cutomer Confidential Internal,,,ilas1vend01.infowerks.com,Powered On
ilas3wks78.100.157,192.168.100.157,Cutomer Confidential Internal,,Judd,ILAS3WKS78.infowerks.com,Powered On
ilas3wks79.100.158,192.168.100.158,Cutomer Confidential Internal,,Shaun,ILAS3WKS79.infowerks.com,Powered Off
ilas3wks81.100.59,192.168.100.159,Cutomer Confidential Internal,,Andy Dev,ILAS3WKS81.infowerks.com,Not Found
ilas3wks82.100.160,192.168.100.160,Cutomer Confidential Internal,,Production iRun,ILAS3WKS82.infowerks.com,Powered On
ilas3wks86.100.161,192.168.100.161,Cutomer Confidential Internal,,,ILAS3WKS86.infowerks.com,Not Found
ilas1win1001.100.163,192.168.100.163,Cutomer Confidential Internal,,,ilas1win1001.infowerks.com,Powered On
ilas1win1002.100.164,192.168.100.164,Cutomer Confidential Internal,,,ilas1win1002.infowerks.com,Powered On
ilas1win1003.100.165,192.168.100.165,Cutomer Confidential Internal,,,ilas1win1003.infowerks.com,Powered On
ilas1win1005.100.167,192.168.100.167,Cutomer Confidential Internal,,,ilas1win1005.infowerks.com,Powered Off
ilas3wks87.100.170,192.168.100.170,Cutomer Confidential Internal,,Jon,ILAS3WKS87.infowerks.com,Not Found
ilas3wks88.100.171,192.168.100.171,Cutomer Confidential Internal,,Stephen,ILAS3WKS88.infowerks.com,Powered On
ilas3wks90,192.168.100.175,Cutomer Confidential Internal,User,Basil,ilas3wks90.infowerks.com,Not Found
ilas3smtp01.101.12,192.168.100.18,Cutomer Confidential Internal,,,ilas3smtp01.infowerks.com,Powered On
ilas3wks91.100.180,192.168.100.180,Customer Confidential External,,Production iRun,ILAS3WKS91.infowerks.com,Powered On
ilas3wks92.100.181,192.168.100.181,Customer Confidential External,,Production iRun,ILAS3WKS92.infowerks.com,Powered On
ilas3wks93.100.182,192.168.100.182,Customer Confidential External,,Production iRun,ILAS3WKS93.infowerks.com,Powered On
ilas3wks94.100.183,192.168.100.183,Customer Confidential External,,Production iRun,ILAS3WKS94.infowerks.com,Powered On
ilas3wks95.100.184,192.168.100.184,Cutomer Confidential Internal,,Ken Dev,ILAS3WKS95.infowerks.com,Powered On
ilas3wks96.100.185,192.168.100.185,Cutomer Confidential Internal,,Ken Dev,ILAS3WKS95.infowerks.com,Powered On
ilas3wks97.100.186,192.168.100.186,Cutomer Confidential Internal,,,,Powered On
ilas3irun21.100.191,192.168.100.191,Cutomer Confidential Internal,Vendor,,ILAS3IRUN21.infowerks.com,Powered On
